
 Jogador: -2, Tempo Gasto: 265 ms, Nós analisados: 131, Profundidade: 4, Valor: 35.0, Cortes Alfa: 4, Cortes Beta: 21

 Jogador: -2, Tempo Gasto: 550 ms, Nós analisados: 237, Profundidade: 4, Valor: 38.0, Cortes Alfa: 3, Cortes Beta: 25

 Jogador: -2, Tempo Gasto: 1253 ms, Nós analisados: 558, Profundidade: 4, Valor: 21.0, Cortes Alfa: 4, Cortes Beta: 60

 Jogador: -2, Tempo Gasto: 314 ms, Nós analisados: 159, Profundidade: 4, Valor: -111.0, Cortes Alfa: 0, Cortes Beta: 27

 Jogador: -2, Tempo Gasto: 917 ms, Nós analisados: 515, Profundidade: 4, Valor: -142.5, Cortes Alfa: 9, Cortes Beta: 71

 Jogador: -2, Tempo Gasto: 224 ms, Nós analisados: 143, Profundidade: 4, Valor: -171.5, Cortes Alfa: 1, Cortes Beta: 25

 Jogador: -2, Tempo Gasto: 505 ms, Nós analisados: 305, Profundidade: 4, Valor: -203.0, Cortes Alfa: 6, Cortes Beta: 33

 Jogador: -2, Tempo Gasto: 371 ms, Nós analisados: 219, Profundidade: 4, Valor: -268.5, Cortes Alfa: 9, Cortes Beta: 31

 Jogador: -2, Tempo Gasto: 193 ms, Nós analisados: 80, Profundidade: 4, Valor: -300.5, Cortes Alfa: 2, Cortes Beta: 12

 Jogador: -2, Tempo Gasto: 397 ms, Nós analisados: 178, Profundidade: 4, Valor: -303.0, Cortes Alfa: 3, Cortes Beta: 20

 Jogador: -2, Tempo Gasto: 264 ms, Nós analisados: 107, Profundidade: 4, Valor: -287.5, Cortes Alfa: 4, Cortes Beta: 12

 Jogador: -2, Tempo Gasto: 335 ms, Nós analisados: 151, Profundidade: 4, Valor: -336.0, Cortes Alfa: 3, Cortes Beta: 7

 Jogador: -2, Tempo Gasto: 140 ms, Nós analisados: 55, Profundidade: 4, Valor: -423.0, Cortes Alfa: 2, Cortes Beta: 6

 Jogador: -2, Tempo Gasto: 91 ms, Nós analisados: 23, Profundidade: 4, Valor: -1152921504606846976, Cortes Alfa: 1, Cortes Beta: 2

 Jogador: -2, Tempo Gasto: 514 ms, Nós analisados: 160, Profundidade: 3, Valor: -18.0, Cortes Alfa: 6, Cortes Beta: 0

 Jogador: -2, Tempo Gasto: 238 ms, Nós analisados: 85, Profundidade: 3, Valor: -85.0, Cortes Alfa: 0, Cortes Beta: 2

 Jogador: -2, Tempo Gasto: 1339 ms, Nós analisados: 316, Profundidade: 3, Valor: -133.5, Cortes Alfa: 15, Cortes Beta: 4

 Jogador: -2, Tempo Gasto: 301 ms, Nós analisados: 97, Profundidade: 3, Valor: -203.0, Cortes Alfa: 3, Cortes Beta: 3

 Jogador: -2, Tempo Gasto: 298 ms, Nós analisados: 126, Profundidade: 3, Valor: -196.0, Cortes Alfa: 9, Cortes Beta: 3

 Jogador: -2, Tempo Gasto: 137 ms, Nós analisados: 50, Profundidade: 3, Valor: -286.0, Cortes Alfa: 4, Cortes Beta: 3

 Jogador: -2, Tempo Gasto: 103 ms, Nós analisados: 38, Profundidade: 3, Valor: -270.5, Cortes Alfa: 4, Cortes Beta: 1

 Jogador: -2, Tempo Gasto: 215 ms, Nós analisados: 104, Profundidade: 3, Valor: -304.5, Cortes Alfa: 9, Cortes Beta: 0

 Jogador: -2, Tempo Gasto: 128 ms, Nós analisados: 46, Profundidade: 3, Valor: -257.5, Cortes Alfa: 2, Cortes Beta: 1

 Jogador: -2, Tempo Gasto: 159 ms, Nós analisados: 58, Profundidade: 3, Valor: -333.0, Cortes Alfa: 4, Cortes Beta: 2

 Jogador: -2, Tempo Gasto: 2388 ms, Nós analisados: 121, Profundidade: 3, Valor: -352.0, Cortes Alfa: 11, Cortes Beta: 3

 Jogador: -2, Tempo Gasto: 42 ms, Nós analisados: 20, Profundidade: 3, Valor: -400.0, Cortes Alfa: 0, Cortes Beta: 1

 Jogador: -2, Tempo Gasto: 101 ms, Nós analisados: 46, Profundidade: 3, Valor: -378.0, Cortes Alfa: 4, Cortes Beta: 3

 Jogador: -2, Tempo Gasto: 81 ms, Nós analisados: 30, Profundidade: 3, Valor: -412.5, Cortes Alfa: 1, Cortes Beta: 3

 Jogador: -2, Tempo Gasto: 28 ms, Nós analisados: 9, Profundidade: 3, Valor: -460.5, Cortes Alfa: 1, Cortes Beta: 0

 Jogador: -1, Tempo Gasto: 379 ms, Nós analisados: 176, Profundidade: 4, Valor: -35.0, Cortes Alfa: 9, Cortes Beta: 6

 Jogador: -2, Tempo Gasto: 297 ms, Nós analisados: 140, Profundidade: 4, Valor: 36.0, Cortes Alfa: 4, Cortes Beta: 23

 Jogador: -1, Tempo Gasto: 595 ms, Nós analisados: 297, Profundidade: 4, Valor: -38.0, Cortes Alfa: 29, Cortes Beta: 12

 Jogador: -2, Tempo Gasto: 182 ms, Nós analisados: 105, Profundidade: 4, Valor: 23.5, Cortes Alfa: 0, Cortes Beta: 31

 Jogador: -1, Tempo Gasto: 166 ms, Nós analisados: 73, Profundidade: 4, Valor: -66.5, Cortes Alfa: 2, Cortes Beta: 1

 Jogador: -2, Tempo Gasto: 451 ms, Nós analisados: 233, Profundidade: 4, Valor: 26.5, Cortes Alfa: 2, Cortes Beta: 23

 Jogador: -1, Tempo Gasto: 779 ms, Nós analisados: 362, Profundidade: 4, Valor: -56.0, Cortes Alfa: 27, Cortes Beta: 11

 Jogador: -2, Tempo Gasto: 1522 ms, Nós analisados: 745, Profundidade: 4, Valor: 39.5, Cortes Alfa: 3, Cortes Beta: 66

 Jogador: -1, Tempo Gasto: 1103 ms, Nós analisados: 539, Profundidade: 4, Valor: -27.5, Cortes Alfa: 63, Cortes Beta: 9

 Jogador: -2, Tempo Gasto: 975 ms, Nós analisados: 494, Profundidade: 4, Valor: 45.0, Cortes Alfa: 8, Cortes Beta: 18

 Jogador: -1, Tempo Gasto: 956 ms, Nós analisados: 497, Profundidade: 4, Valor: -32.0, Cortes Alfa: 66, Cortes Beta: 7

 Jogador: -2, Tempo Gasto: 989 ms, Nós analisados: 598, Profundidade: 4, Valor: 38.5, Cortes Alfa: 15, Cortes Beta: 38

 Jogador: -1, Tempo Gasto: 718 ms, Nós analisados: 512, Profundidade: 4, Valor: -22.5, Cortes Alfa: 45, Cortes Beta: 5

 Jogador: -2, Tempo Gasto: 378 ms, Nós analisados: 264, Profundidade: 4, Valor: 26.5, Cortes Alfa: 10, Cortes Beta: 30

 Jogador: -1, Tempo Gasto: 193 ms, Nós analisados: 113, Profundidade: 4, Valor: -24.0, Cortes Alfa: 15, Cortes Beta: 4

 Jogador: -2, Tempo Gasto: 239 ms, Nós analisados: 135, Profundidade: 4, Valor: 60.5, Cortes Alfa: 2, Cortes Beta: 14

 Jogador: -1, Tempo Gasto: 281 ms, Nós analisados: 142, Profundidade: 4, Valor: -23.5, Cortes Alfa: 20, Cortes Beta: 1

 Jogador: -2, Tempo Gasto: 389 ms, Nós analisados: 227, Profundidade: 4, Valor: 8.5, Cortes Alfa: 3, Cortes Beta: 18

 Jogador: -1, Tempo Gasto: 398 ms, Nós analisados: 205, Profundidade: 4, Valor: -42.0, Cortes Alfa: 9, Cortes Beta: 12

 Jogador: -2, Tempo Gasto: 491 ms, Nós analisados: 224, Profundidade: 4, Valor: 36.0, Cortes Alfa: 5, Cortes Beta: 20

 Jogador: -1, Tempo Gasto: 666 ms, Nós analisados: 312, Profundidade: 4, Valor: -24.5, Cortes Alfa: 25, Cortes Beta: 10

 Jogador: -2, Tempo Gasto: 214 ms, Nós analisados: 88, Profundidade: 4, Valor: -12.5, Cortes Alfa: 0, Cortes Beta: 18

 Jogador: -1, Tempo Gasto: 199 ms, Nós analisados: 82, Profundidade: 4, Valor: -95.5, Cortes Alfa: 5, Cortes Beta: 2

 Jogador: -2, Tempo Gasto: 139 ms, Nós analisados: 65, Profundidade: 4, Valor: -73.0, Cortes Alfa: 3, Cortes Beta: 9

 Jogador: -1, Tempo Gasto: 134 ms, Nós analisados: 60, Profundidade: 4, Valor: -166.5, Cortes Alfa: 2, Cortes Beta: 4

 Jogador: -2, Tempo Gasto: 123 ms, Nós analisados: 82, Profundidade: 4, Valor: -93.5, Cortes Alfa: 4, Cortes Beta: 15

 Jogador: -1, Tempo Gasto: 92 ms, Nós analisados: 51, Profundidade: 4, Valor: -128.0, Cortes Alfa: 11, Cortes Beta: 5

 Jogador: -2, Tempo Gasto: 39 ms, Nós analisados: 24, Profundidade: 4, Valor: -120.0, Cortes Alfa: 2, Cortes Beta: 5

 Jogador: -1, Tempo Gasto: 31 ms, Nós analisados: 14, Profundidade: 4, Valor: -171.0, Cortes Alfa: 2, Cortes Beta: 1

 Jogador: -2, Tempo Gasto: 27 ms, Nós analisados: 10, Profundidade: 4, Valor: -99.0, Cortes Alfa: 0, Cortes Beta: 2

 Jogador: -1, Tempo Gasto: 24 ms, Nós analisados: 7, Profundidade: 4, Valor: -142.5, Cortes Alfa: 0, Cortes Beta: 0

 Jogador: -2, Tempo Gasto: 40 ms, Nós analisados: 12, Profundidade: 4, Valor: -64.0, Cortes Alfa: 0, Cortes Beta: 0

 Jogador: -1, Tempo Gasto: 53 ms, Nós analisados: 19, Profundidade: 4, Valor: -84.0, Cortes Alfa: 0, Cortes Beta: 0

 Jogador: -2, Tempo Gasto: 47 ms, Nós analisados: 24, Profundidade: 4, Valor: -32.5, Cortes Alfa: 0, Cortes Beta: 2

 Jogador: -1, Tempo Gasto: 23 ms, Nós analisados: 8, Profundidade: 4, Valor: 1152921504606846975, Cortes Alfa: 0, Cortes Beta: 2

 Jogador: -2, Tempo Gasto: 9 ms, Nós analisados: 2, Profundidade: 4, Valor: 1152921504606846975, Cortes Alfa: 0, Cortes Beta: 1

 Jogador: -1, Tempo Gasto: 13 ms, Nós analisados: 3, Profundidade: 4, Valor: 1152921504606846975, Cortes Alfa: 0, Cortes Beta: 2

 Jogador: -2, Tempo Gasto: 8 ms, Nós analisados: 2, Profundidade: 4, Valor: 1152921504606846975, Cortes Alfa: 0, Cortes Beta: 1

 Jogador: -1, Tempo Gasto: 14 ms, Nós analisados: 2, Profundidade: 4, Valor: -1152921504606846976, Cortes Alfa: 1, Cortes Beta: 0

